No,Product Types,Source,Product Name,Seller,Latitude,Longitude,Link,Location
1,Cosmetics,Tokopedia,SABUN MANDI BATANG MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/sabun-mandi-batang-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
2,Food products,Tokopedia,Basreng Mangrove,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/basreng-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
3,Cosmetics,Tokopedia,HAND & BODY LOTION MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/hand-body-lotion-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
4,Cosmetics,Tokopedia,SABUN CUCI PIRING CAIR DAUN MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/sabun-cuci-piring-cair-daun-mangrove?extParam=ivf%3Dfalse%26keyword%3Dsabun+mangrove%26search_id%3D202510030434065737C6EC2E071629C4DL%26src%3Dsearch,Kota Medan
5,Cosmetics,Tokopedia,SHAMPOO MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/shampoo-mangrove?extParam=whid%3D16973341%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Kota Medan
6,Cosmetics,Tokopedia,LULUR MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/lulur-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
7,Cosmetics,Tokopedia,YOGURT MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/yogurt-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
8,Food products,Tokopedia,KERUPUK MANGROVE,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/kerupuk-mangrove?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
9,Cosmetics,Tokopedia,DODOL MANGROVE RASA PANDAN,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/dodol-mangrove-rasa-pandan?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
10,Food products,Tokopedia,ES DAWET MANGROVE / ES DAWET AVICENA,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/es-dawet-mangrove-es-dawet-avicena?extParam=whid%3D16973341%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Kota Medan
11,Food products,Tokopedia,KERIPIK MANGROVE / KERIPIK JERUJU,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/keripik-mangrove-keripik-jeruju?extParam=src%3Dshop%26whid%3D16973341&aff_unique_id=&channel=others&chain_key=,Kota Medan
12,Food products,Tokopedia,SIRUP MANGROVE / PREPAT / BEREMBANG,UP2K PKK SICANANG,3.65,98.6667,https://www.tokopedia.com/up2k-pkk-scn/sirup-mangrove-prepat-berembang?extParam=whid%3D16973341%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Kota Medan
13,Cosmetics,Tokopedia,"MOTAA PRODUK 500 ml Soap, cuci piring, cuci tangan, sungsang, mangrove, alami, lestari, sabun, bersih, Harum, Aman",Mat Asan,-2.4167,104.9167,https://www.tokopedia.com/mat-asan/motaa-produk-500-ml-soap-cuci-piring-cuci-tangan-sungsang-mangrove-alami-lestari-sabun-bersih-harum-aman-1731221633853195518?extParam=ivf%3Dfalse%26keyword%3Dsabun+mangrove%26search_id%3D202510030434065737C6EC2E071629C4DL%26src%3Dsearch,Kabupaten Banyuasin
14,Food products,Tokopedia,Keripik daun mangrove Kering,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/keripik-daun-mangrove-kering-1730335938057438985?extParam=ivf%3Dfalse%26keyword%3Dkeripik+mangrove%26search_id%3D2025100307110511B9842E0A271F09BBA7%26src%3Dsearch,Kabupaten Bekasi
15,Food products,Tokopedia,Peyek daun mangrove Snack,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/peyek-daun-mangrove-snack-1730681719674603273?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
16,Food products,Tokopedia,Dodol rujak mangrove sensi pedas asam,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/dodol-rujak-mangrove-sensi-pedas-asam-1730310413161760521?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
17,Food products,Tokopedia,Kacang umpet daun mangrove,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/kacang-umpet-daun-mangrove-1730310337664157449?extParam=whid%3D19199883%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
18,Food products,Tokopedia,Dodol jahe mangrove yang hangat,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/dodol-jahe-mangrove-yang-hangat-1730310322693441289?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
19,Food products,Tokopedia,Dodol wijen mangrove rasa gurih asam yang nikmat,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/dodol-wijen-mangrove-rasa-gurih-asam-yang-nikmat-1730310299814627081?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
20,Food products,Tokopedia,Sirup Mangrove Mang Oge - Sirup Manis Berkualitas,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/sirup-mangrove-mang-oge-sirup-manis-berkualitas-1730195025827301129?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
21,Food products,Tokopedia,Dodol buah mangrove original,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/dodol-buah-mangrove-original-1730310272375883529?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
22,Food products,Tokopedia,Keripik umpet buah mangrove,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/keripik-umpet-buah-mangrove-1730310362274629385?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
23,Food products,Tokopedia,Stick Daun mangrove original - BALADO,MANG oge,-6.2467,107.1083,https://www.tokopedia.com/mang-oge/stick-daun-mangrove-original-1730616404463224585?extParam=src%3Dshop%26whid%3D19199883&aff_unique_id=&channel=others&chain_key=,Kabupaten Bekasi
24,Food products,Tokopedia,"Keripik Mangrove 100%cemilan alami sehat bergizi - Balado, 100",mangsnacks,-8.3333,114.2,https://www.tokopedia.com/mangsnacks/keripik-mangrove-100-cemilan-alami-sehat-bergizi-1729971737950324377?extParam=ivf%3Dfalse%26keyword%3Dkeripik+mangrove%26search_id%3D2025100307110511B9842E0A271F09BBA7%26src%3Dsearch,Kabupaten Banyuwangi
25,Food products,Tokopedia,Teh Mangrove organik 100%,mangsnacks,-8.3333,114.2,https://www.tokopedia.com/mangsnacks/teh-mangrove-organik-100-1729819594990323353?extParam=whid%3D10473416&aff_unique_id=&channel=others&chain_key=,Kabupaten Banyuwangi
26,Food products,Tokopedia,Sirup Buah Mangrove 100% Produk UMKM Kaya Vitamin A B1 B2 C Enak & Manfaat Kesehatan Tinggi Halal MUI,mangsnacks,-8.3333,114.2,https://www.tokopedia.com/mangsnacks/sirup-buah-mangrove-100-produk-umkm-kaya-vitamin-a-b1-b2-c-enak-manfaat-kesehatan-tinggi-halal-mui-1729971660387157657?extParam=whid%3D10473416&aff_unique_id=&channel=others&chain_key=,Kabupaten Banyuwangi
27,Food products,Tokopedia,"Tepung Mangrove Lindur 100% organik, kaya serat, bergizi alami, ramah lingkungan, sehat untuk keluarga, inovasi pangan lokal nusantara berbahan buah lindur Bruguiera gymnorrhiza - 1 kg",mangsnacks,-8.3333,114.2,https://www.tokopedia.com/mangsnacks/tepung-mangrove-lindur-100-organik-kaya-serat-bergizi-alami-ramah-lingkungan-sehat-untuk-keluarga-inovasi-pangan-lokal-nusantara-berbahan-buah-lindur-bruguiera-gymnorrhiza-1729902425988171417?extParam=whid%3D10473416&aff_unique_id=&channel=others&chain_key=,Kabupaten Banyuwangi
28,Food products,Tokopedia,Keripik Mangrove Oleh oleh khas Banyuwangi,Pusat oleh-oleh pelangi sari,-8.3333,114.2,https://www.tokopedia.com/pelangisaribanyuwangi/keripik-mangrove-oleh-oleh-khas-banyuwangi-1731294962118723321?extParam=whid%3D15250227&aff_unique_id=&channel=others&chain_key=,Kabupaten Banyuwangi
29,Food products,Tokopedia,DONJU - Beli 2 dapat ekstra 1 KERIPIK MANGROVE - Produk minuman (teh herbal) khas Bali yang terbuat dari daun Jeruju Alami,MITRA AMANAH OLSHOP,-8.3,114.6667,https://www.tokopedia.com/mitra-amanah-olshop/donju-beli-2-dapat-ekstra-1-keripik-mangrove-produk-minuman-teh-herbal-khas-bali-yang-terbuat-dari-daun-jeruju-alami-1729655226286115798?extParam=ivf%3Dfalse%26keyword%3Dkeripik+mangrove%26search_id%3D20251003073703B83AAC23B952870D60V4%26src%3Dsearch,Kabupaten Jembrana
